"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 0,036716
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 0,036001
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 0,002861
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 0,013113
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 0,004053
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 0,019312
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 0,004292
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 0,013828
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 0,003099
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 0,012398
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,005007
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,006437
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 2,874613
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 1,621723
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,006676
